Topic,Subcategory,Date,Inquiries
Attractions,Indoor,28/3/2024,4925
Attractions,Indoor,29/3/2024,4886
Attractions,Indoor,30/3/2024,473
Attractions,Outdoor,1/1/2024,1055
Attractions,Outdoor,2/1/2024,5091
Attractions,Outdoor,3/1/2024,4677
Attractions,Outdoor,4/1/2024,9574
Attractions,Outdoor,5/1/2024,4154
Attractions,Outdoor,6/1/2024,7692
Attractions,Outdoor,7/1/2024,7410
Attractions,Outdoor,8/1/2024,4319
Attractions,Outdoor,9/1/2024,3419
Attractions,Outdoor,10/1/2024,9846
Attractions,Outdoor,11/1/2024,5639
Attractions,Outdoor,12/1/2024,6981
Attractions,Outdoor,13/1/2024,4906
Attractions,Outdoor,14/1/2024,8370
Attractions,Outdoor,15/1/2024,4166
Attractions,Outdoor,16/1/2024,4082
Attractions,Outdoor,17/1/2024,3882
Attractions,Outdoor,18/1/2024,6061
Attractions,Outdoor,19/1/2024,3360
Attractions,Outdoor,20/1/2024,827
Attractions,Outdoor,21/1/2024,2716
Attractions,Outdoor,22/1/2024,8765
Attractions,Outdoor,23/1/2024,510
Attractions,Outdoor,24/1/2024,8894
Attractions,Outdoor,25/1/2024,7882
Attractions,Outdoor,26/1/2024,2064
Attractions,Outdoor,27/1/2024,6123
Attractions,Outdoor,28/1/2024,5755
Attractions,Outdoor,29/1/2024,1650
Attractions,Outdoor,30/1/2024,3315
Attractions,Outdoor,31/1/2024,7866
Attractions,Outdoor,1/2/2024,2516
Attractions,Outdoor,2/2/2024,5722
Attractions,Outdoor,3/2/2024,3110
Attractions,Outdoor,4/2/2024,8996
Attractions,Outdoor,5/2/2024,5673
Attractions,Outdoor,6/2/2024,3392
Attractions,Outdoor,7/2/2024,6668
Attractions,Outdoor,8/2/2024,1062
Attractions,Outdoor,9/2/2024,9856
Attractions,Outdoor,10/2/2024,11139
Attractions,Outdoor,11/2/2024,9746
Attractions,Outdoor,12/2/2024,9117
Attractions,Outdoor,13/2/2024,2545
Attractions,Outdoor,14/2/2024,5437
Attractions,Outdoor,15/2/2024,8523
Attractions,Outdoor,16/2/2024,3481
Attractions,Outdoor,17/2/2024,7957
Attractions,Outdoor,18/2/2024,3171
Attractions,Outdoor,19/2/2024,9006
Attractions,Outdoor,20/2/2024,2569
Attractions,Outdoor,21/2/2024,8137
Attractions,Outdoor,22/2/2024,4052
Attractions,Outdoor,23/2/2024,6062
Attractions,Outdoor,24/2/2024,2552
Attractions,Outdoor,25/2/2024,3562
Attractions,Outdoor,26/2/2024,225
Attractions,Outdoor,27/2/2024,273
Attractions,Outdoor,28/2/2024,3506
Attractions,Outdoor,29/2/2024,9271
Attractions,Outdoor,1/3/2024,1046
Attractions,Outdoor,2/3/2024,8133
Attractions,Outdoor,3/3/2024,4553
Attractions,Outdoor,4/3/2024,3266
Attractions,Outdoor,5/3/2024,2010
Attractions,Outdoor,6/3/2024,5573
Attractions,Outdoor,7/3/2024,8999
Attractions,Outdoor,8/3/2024,6677
Attractions,Outdoor,9/3/2024,5036
Attractions,Outdoor,10/3/2024,8616
Attractions,Outdoor,11/3/2024,3015
Attractions,Outdoor,12/3/2024,747
Attractions,Outdoor,13/3/2024,6433
Attractions,Outdoor,14/3/2024,9585
Attractions,Outdoor,15/3/2024,4444
Attractions,Outdoor,16/3/2024,8513
Attractions,Outdoor,17/3/2024,12781
Attractions,Outdoor,18/3/2024,2886
Attractions,Outdoor,19/3/2024,4802
Attractions,Outdoor,20/3/2024,8565
Attractions,Outdoor,21/3/2024,449
Attractions,Outdoor,22/3/2024,214
Attractions,Outdoor,23/3/2024,10636
Attractions,Outdoor,24/3/2024,10572
Attractions,Outdoor,25/3/2024,2840
Attractions,Outdoor,26/3/2024,5770
Attractions,Outdoor,27/3/2024,5788
Attractions,Outdoor,28/3/2024,2321
Attractions,Outdoor,29/3/2024,7829
Attractions,Outdoor,30/3/2024,11929
Attractions,Seasonal/Events-Based,1/1/2024,7966
Attractions,Seasonal/Events-Based,2/1/2024,4628
Attractions,Seasonal/Events-Based,3/1/2024,169
Attractions,Seasonal/Events-Based,4/1/2024,4582
Attractions,Seasonal/Events-Based,5/1/2024,4437
Attractions,Seasonal/Events-Based,6/1/2024,12565
Attractions,Seasonal/Events-Based,7/1/2024,3914
Attractions,Seasonal/Events-Based,8/1/2024,4256
Attractions,Seasonal/Events-Based,9/1/2024,9357
Attractions,Seasonal/Events-Based,10/1/2024,9019
Attractions,Seasonal/Events-Based,11/1/2024,6209
Attractions,Seasonal/Events-Based,12/1/2024,3969
Attractions,Seasonal/Events-Based,13/1/2024,532
Attractions,Seasonal/Events-Based,14/1/2024,8478
Attractions,Seasonal/Events-Based,15/1/2024,4015
Attractions,Seasonal/Events-Based,16/1/2024,3843
Attractions,Seasonal/Events-Based,17/1/2024,971
Attractions,Seasonal/Events-Based,18/1/2024,3456
Attractions,Seasonal/Events-Based,19/1/2024,2402
Attractions,Seasonal/Events-Based,20/1/2024,4204
Attractions,Seasonal/Events-Based,21/1/2024,442
Attractions,Seasonal/Events-Based,22/1/2024,4617
Attractions,Seasonal/Events-Based,23/1/2024,714
Attractions,Seasonal/Events-Based,24/1/2024,1339
Attractions,Seasonal/Events-Based,25/1/2024,3354
Attractions,Seasonal/Events-Based,26/1/2024,3788
Attractions,Seasonal/Events-Based,27/1/2024,10471
Attractions,Seasonal/Events-Based,28/1/2024,8488
Attractions,Seasonal/Events-Based,29/1/2024,4807
Attractions,Seasonal/Events-Based,30/1/2024,4364
Attractions,Seasonal/Events-Based,31/1/2024,4808
Attractions,Seasonal/Events-Based,1/2/2024,524
Attractions,Seasonal/Events-Based,2/2/2024,5478
Attractions,Seasonal/Events-Based,3/2/2024,12765
Attractions,Seasonal/Events-Based,4/2/2024,11121
Attractions,Seasonal/Events-Based,5/2/2024,3917
Attractions,Seasonal/Events-Based,6/2/2024,5896
Attractions,Seasonal/Events-Based,7/2/2024,8803
Attractions,Seasonal/Events-Based,8/2/2024,6892
Attractions,Seasonal/Events-Based,9/2/2024,5136
Attractions,Seasonal/Events-Based,10/2/2024,3231
Attractions,Seasonal/Events-Based,11/2/2024,927
Attractions,Seasonal/Events-Based,12/2/2024,7196
Attractions,Seasonal/Events-Based,13/2/2024,4751
Attractions,Seasonal/Events-Based,14/2/2024,8413
Attractions,Seasonal/Events-Based,15/2/2024,8953
Attractions,Seasonal/Events-Based,16/2/2024,3636
Attractions,Seasonal/Events-Based,17/2/2024,6266
Attractions,Seasonal/Events-Based,18/2/2024,5700
Attractions,Seasonal/Events-Based,19/2/2024,1911
Attractions,Seasonal/Events-Based,20/2/2024,7757
Attractions,Seasonal/Events-Based,21/2/2024,153
Attractions,Seasonal/Events-Based,22/2/2024,9188
Attractions,Seasonal/Events-Based,23/2/2024,1430
Attractions,Seasonal/Events-Based,24/2/2024,4537
Attractions,Seasonal/Events-Based,25/2/2024,8406
Attractions,Seasonal/Events-Based,26/2/2024,128
Attractions,Seasonal/Events-Based,27/2/2024,1956
Attractions,Seasonal/Events-Based,28/2/2024,6701
Attractions,Seasonal/Events-Based,29/2/2024,8896
Attractions,Seasonal/Events-Based,1/3/2024,8256
Attractions,Seasonal/Events-Based,2/3/2024,898
Attractions,Seasonal/Events-Based,3/3/2024,5046
Attractions,Seasonal/Events-Based,4/3/2024,4275
Attractions,Seasonal/Events-Based,5/3/2024,1299
Attractions,Seasonal/Events-Based,6/3/2024,5533
Attractions,Seasonal/Events-Based,7/3/2024,5330
Attractions,Seasonal/Events-Based,8/3/2024,5805
Attractions,Seasonal/Events-Based,9/3/2024,4318
Attractions,Seasonal/Events-Based,10/3/2024,1243
Attractions,Seasonal/Events-Based,11/3/2024,544
Attractions,Seasonal/Events-Based,12/3/2024,1334
Attractions,Seasonal/Events-Based,13/3/2024,1024
Attractions,Seasonal/Events-Based,14/3/2024,8971
Attractions,Seasonal/Events-Based,15/3/2024,7522
Attractions,Seasonal/Events-Based,16/3/2024,5887
Attractions,Seasonal/Events-Based,17/3/2024,7455
Attractions,Seasonal/Events-Based,18/3/2024,2324
Attractions,Seasonal/Events-Based,19/3/2024,3903
Attractions,Seasonal/Events-Based,20/3/2024,4596
Attractions,Seasonal/Events-Based,21/3/2024,4994
Attractions,Seasonal/Events-Based,22/3/2024,342
Attractions,Seasonal/Events-Based,23/3/2024,2395
Attractions,Seasonal/Events-Based,24/3/2024,750
Attractions,Seasonal/Events-Based,25/3/2024,1753
Attractions,Seasonal/Events-Based,26/3/2024,3663
Attractions,Seasonal/Events-Based,27/3/2024,1356
Attractions,Seasonal/Events-Based,28/3/2024,9605
Attractions,Seasonal/Events-Based,29/3/2024,7899
Attractions,Seasonal/Events-Based,30/3/2024,6545
Attractions,Family-Friendly,1/1/2024,241
Attractions,Family-Friendly,2/1/2024,188
Attractions,Family-Friendly,3/1/2024,8471
Attractions,Family-Friendly,4/1/2024,1085
Attractions,Family-Friendly,5/1/2024,3337
Attractions,Family-Friendly,6/1/2024,9154
Attractions,Family-Friendly,7/1/2024,7546
Attractions,Family-Friendly,8/1/2024,4441
Attractions,Family-Friendly,9/1/2024,4099
Attractions,Family-Friendly,10/1/2024,1972
Attractions,Family-Friendly,11/1/2024,9443
Attractions,Family-Friendly,12/1/2024,9303
Attractions,Family-Friendly,13/1/2024,10533
Attractions,Family-Friendly,14/1/2024,9755
Attractions,Family-Friendly,15/1/2024,8874
Attractions,Family-Friendly,16/1/2024,6505
Attractions,Family-Friendly,17/1/2024,1224
Attractions,Family-Friendly,18/1/2024,9584
Attractions,Family-Friendly,19/1/2024,4768
Attractions,Family-Friendly,20/1/2024,3239
Attractions,Family-Friendly,21/1/2024,2495
Attractions,Family-Friendly,22/1/2024,9259
Attractions,Family-Friendly,23/1/2024,4305
Attractions,Family-Friendly,24/1/2024,4635
Attractions,Family-Friendly,25/1/2024,9892
Attractions,Family-Friendly,26/1/2024,355
Attractions,Family-Friendly,27/1/2024,7460
Attractions,Family-Friendly,28/1/2024,1646
Attractions,Family-Friendly,29/1/2024,5908
Attractions,Family-Friendly,30/1/2024,906
Attractions,Family-Friendly,31/1/2024,9659
Attractions,Family-Friendly,1/2/2024,2208
Attractions,Family-Friendly,2/2/2024,6401
Attractions,Family-Friendly,3/2/2024,6104
Attractions,Family-Friendly,4/2/2024,13488
Attractions,Family-Friendly,5/2/2024,3914
Attractions,Family-Friendly,6/2/2024,1040
Attractions,Family-Friendly,7/2/2024,5761
Attractions,Family-Friendly,8/2/2024,4264
Attractions,Family-Friendly,9/2/2024,3005
Attractions,Family-Friendly,10/2/2024,10156
Attractions,Family-Friendly,11/2/2024,3612
Attractions,Family-Friendly,12/2/2024,2592
Attractions,Family-Friendly,13/2/2024,8479
Attractions,Family-Friendly,14/2/2024,1741
Attractions,Family-Friendly,15/2/2024,9506
Attractions,Family-Friendly,16/2/2024,6586
Attractions,Family-Friendly,17/2/2024,5331
Attractions,Family-Friendly,18/2/2024,10897
Attractions,Family-Friendly,19/2/2024,4141
Attractions,Family-Friendly,20/2/2024,5568
Attractions,Family-Friendly,21/2/2024,9877
Attractions,Family-Friendly,22/2/2024,8660
Attractions,Family-Friendly,23/2/2024,4685
Attractions,Family-Friendly,24/2/2024,2876
Attractions,Family-Friendly,25/2/2024,10250
Attractions,Family-Friendly,26/2/2024,5085
Attractions,Family-Friendly,27/2/2024,552
Attractions,Family-Friendly,28/2/2024,8238
Attractions,Family-Friendly,29/2/2024,3280
Attractions,Family-Friendly,1/3/2024,5108
Attractions,Family-Friendly,2/3/2024,6286
Attractions,Family-Friendly,3/3/2024,7370
Attractions,Family-Friendly,4/3/2024,3678
Attractions,Family-Friendly,5/3/2024,8914
Attractions,Family-Friendly,6/3/2024,6989
Attractions,Family-Friendly,7/3/2024,7321
Attractions,Family-Friendly,8/3/2024,541
Attractions,Family-Friendly,9/3/2024,7332
Attractions,Family-Friendly,10/3/2024,3048
Attractions,Family-Friendly,11/3/2024,4331
Attractions,Family-Friendly,12/3/2024,2770
Attractions,Family-Friendly,13/3/2024,7620
Attractions,Family-Friendly,14/3/2024,6131
Attractions,Family-Friendly,15/3/2024,7714
Attractions,Family-Friendly,16/3/2024,6146
Attractions,Family-Friendly,17/3/2024,12177
Attractions,Family-Friendly,18/3/2024,6180
Attractions,Family-Friendly,19/3/2024,8524
Attractions,Family-Friendly,20/3/2024,8354
Attractions,Family-Friendly,21/3/2024,4077
Attractions,Family-Friendly,22/3/2024,8825
Attractions,Family-Friendly,23/3/2024,3282
Attractions,Family-Friendly,24/3/2024,7076
Attractions,Family-Friendly,25/3/2024,1609
Attractions,Family-Friendly,26/3/2024,8797
Attractions,Family-Friendly,27/3/2024,2411
Attractions,Family-Friendly,28/3/2024,5821
Attractions,Family-Friendly,29/3/2024,288
Attractions,Family-Friendly,30/3/2024,1379
Dining,International Cuisine,1/1/2024,1592
Dining,International Cuisine,2/1/2024,5261
Dining,International Cuisine,3/1/2024,237
Dining,International Cuisine,4/1/2024,7312
Dining,International Cuisine,5/1/2024,9349
Dining,International Cuisine,6/1/2024,486
Dining,International Cuisine,7/1/2024,2212
Dining,International Cuisine,8/1/2024,7764
Dining,International Cuisine,9/1/2024,8191
Dining,International Cuisine,10/1/2024,3935
Dining,International Cuisine,11/1/2024,3050
Dining,International Cuisine,12/1/2024,8031
Dining,International Cuisine,13/1/2024,201
Dining,International Cuisine,14/1/2024,7657
Dining,International Cuisine,15/1/2024,4621
Dining,International Cuisine,16/1/2024,715
Dining,International Cuisine,17/1/2024,1878
Dining,International Cuisine,18/1/2024,6276
Dining,International Cuisine,19/1/2024,4375
Dining,International Cuisine,20/1/2024,11986
Dining,International Cuisine,21/1/2024,7212
Dining,International Cuisine,22/1/2024,6164
Dining,International Cuisine,23/1/2024,9657
Dining,International Cuisine,24/1/2024,8345
Dining,International Cuisine,25/1/2024,9264
Dining,International Cuisine,26/1/2024,169
Dining,International Cuisine,27/1/2024,5974
Dining,International Cuisine,28/1/2024,8335
Dining,International Cuisine,29/1/2024,6059
Dining,International Cuisine,30/1/2024,1268
Dining,International Cuisine,31/1/2024,9253
Dining,International Cuisine,1/2/2024,4829
Dining,International Cuisine,2/2/2024,2121
Dining,International Cuisine,3/2/2024,11690
Dining,International Cuisine,4/2/2024,12797
Dining,International Cuisine,5/2/2024,384
Dining,International Cuisine,6/2/2024,4393
Dining,International Cuisine,7/2/2024,1358
Dining,International Cuisine,8/2/2024,52
Dining,International Cuisine,9/2/2024,713
Dining,International Cuisine,10/2/2024,793
Dining,International Cuisine,11/2/2024,9003
Dining,International Cuisine,12/2/2024,536
Dining,International Cuisine,13/2/2024,1151
Dining,International Cuisine,14/2/2024,4768
Dining,International Cuisine,15/2/2024,7603
Dining,International Cuisine,16/2/2024,43
Dining,International Cuisine,17/2/2024,5710
Dining,International Cuisine,18/2/2024,5542
Dining,International Cuisine,19/2/2024,2058
Dining,International Cuisine,20/2/2024,1567
Dining,International Cuisine,21/2/2024,9079
Dining,International Cuisine,22/2/2024,4880
Dining,International Cuisine,23/2/2024,4467
Dining,International Cuisine,24/2/2024,8211
Dining,International Cuisine,25/2/2024,8940
Dining,International Cuisine,26/2/2024,4876
Dining,International Cuisine,27/2/2024,2336
Dining,International Cuisine,28/2/2024,3074
Dining,International Cuisine,29/2/2024,3944
Dining,International Cuisine,1/3/2024,3740
Dining,International Cuisine,2/3/2024,537
Dining,International Cuisine,3/3/2024,10251
Dining,International Cuisine,4/3/2024,8848
Dining,International Cuisine,5/3/2024,4824
Dining,International Cuisine,6/3/2024,1105
Dining,International Cuisine,7/3/2024,3582
Dining,International Cuisine,8/3/2024,5555
Dining,International Cuisine,9/3/2024,2122
Dining,International Cuisine,10/3/2024,7127
Dining,International Cuisine,11/3/2024,9620
Dining,International Cuisine,12/3/2024,2880
Dining,International Cuisine,13/3/2024,2087
Dining,International Cuisine,14/3/2024,9919
Dining,International Cuisine,15/3/2024,1612
Dining,International Cuisine,16/3/2024,3207
Dining,International Cuisine,17/3/2024,9506
Dining,International Cuisine,18/3/2024,3906
Dining,International Cuisine,19/3/2024,626
Dining,International Cuisine,20/3/2024,5200
Dining,International Cuisine,21/3/2024,1931
Dining,International Cuisine,22/3/2024,3296
Dining,International Cuisine,23/3/2024,8131
Dining,International Cuisine,24/3/2024,3394
Dining,International Cuisine,25/3/2024,8541
Dining,International Cuisine,26/3/2024,5618
Dining,International Cuisine,27/3/2024,3446
Dining,International Cuisine,28/3/2024,7210
Dining,International Cuisine,29/3/2024,5350
Dining,International Cuisine,30/3/2024,341
Dining,Fine Dining,1/1/2024,6659
Dining,Fine Dining,2/1/2024,6810
Dining,Fine Dining,3/1/2024,3812
Dining,Fine Dining,4/1/2024,7818
Dining,Fine Dining,5/1/2024,9574
Dining,Fine Dining,6/1/2024,10325
Dining,Fine Dining,7/1/2024,3946
Dining,Fine Dining,8/1/2024,8056
Dining,Fine Dining,9/1/2024,8152
Dining,Fine Dining,10/1/2024,2716
Dining,Fine Dining,11/1/2024,4363
Dining,Fine Dining,12/1/2024,8459
Dining,Fine Dining,13/1/2024,7141
Dining,Fine Dining,14/1/2024,12909
Dining,Fine Dining,15/1/2024,8219
Dining,Fine Dining,16/1/2024,7646
Dining,Fine Dining,17/1/2024,873
Dining,Fine Dining,18/1/2024,6251
Dining,Fine Dining,19/1/2024,55
Dining,Fine Dining,20/1/2024,4231
Dining,Fine Dining,21/1/2024,8330
Dining,Fine Dining,22/1/2024,8394
Dining,Fine Dining,23/1/2024,2196
Dining,Fine Dining,24/1/2024,5870
Dining,Fine Dining,25/1/2024,177
Dining,Fine Dining,26/1/2024,4126
Dining,Fine Dining,27/1/2024,11673
Dining,Fine Dining,28/1/2024,8326
Dining,Fine Dining,29/1/2024,9389
Dining,Fine Dining,30/1/2024,6512
Dining,Fine Dining,31/1/2024,9146
Dining,Fine Dining,1/2/2024,631
Dining,Fine Dining,2/2/2024,4383
Dining,Fine Dining,3/2/2024,7075
Dining,Fine Dining,4/2/2024,2453
Dining,Fine Dining,5/2/2024,3276
Dining,Fine Dining,6/2/2024,8332
Dining,Fine Dining,7/2/2024,2383
Dining,Fine Dining,8/2/2024,8643
Dining,Fine Dining,9/2/2024,6878
Dining,Fine Dining,10/2/2024,7696
Dining,Fine Dining,11/2/2024,10547
Dining,Fine Dining,12/2/2024,1174
Dining,Fine Dining,13/2/2024,9077
Dining,Fine Dining,14/2/2024,6250
Dining,Fine Dining,15/2/2024,3910
Dining,Fine Dining,16/2/2024,7804
Dining,Fine Dining,17/2/2024,2668
Dining,Fine Dining,18/2/2024,12002
Dining,Fine Dining,19/2/2024,5291
Dining,Fine Dining,20/2/2024,5683
Dining,Fine Dining,21/2/2024,3178
Dining,Fine Dining,22/2/2024,2375
Dining,Fine Dining,23/2/2024,1285
Dining,Fine Dining,24/2/2024,3998
Dining,Fine Dining,25/2/2024,1339
Dining,Fine Dining,26/2/2024,5567
Dining,Fine Dining,27/2/2024,6286
Dining,Fine Dining,28/2/2024,5001
Dining,Fine Dining,29/2/2024,1295
Dining,Fine Dining,1/3/2024,4611
Dining,Fine Dining,2/3/2024,3962
Dining,Fine Dining,3/3/2024,2261
Dining,Fine Dining,4/3/2024,6937
Dining,Fine Dining,5/3/2024,3072
Dining,Fine Dining,6/3/2024,9509
Dining,Fine Dining,7/3/2024,762
Dining,Fine Dining,8/3/2024,2450
Dining,Fine Dining,9/3/2024,5395
Dining,Fine Dining,10/3/2024,2137
Dining,Fine Dining,11/3/2024,7498
Dining,Fine Dining,12/3/2024,8963
Dining,Fine Dining,13/3/2024,5232
Dining,Fine Dining,14/3/2024,8635
Dining,Fine Dining,15/3/2024,9662
Dining,Fine Dining,16/3/2024,2653
Dining,Fine Dining,17/3/2024,10905
Dining,Fine Dining,18/3/2024,2647
Dining,Fine Dining,19/3/2024,2737
Dining,Fine Dining,20/3/2024,4452
Dining,Fine Dining,21/3/2024,2431
Dining,Fine Dining,22/3/2024,8476
Dining,Fine Dining,23/3/2024,8336
Dining,Fine Dining,24/3/2024,3839
Dining,Fine Dining,25/3/2024,7959
Dining,Fine Dining,26/3/2024,5958
Dining,Fine Dining,27/3/2024,3342
Dining,Fine Dining,28/3/2024,639
Dining,Fine Dining,29/3/2024,1925
Dining,Fine Dining,30/3/2024,11574
Dining,International Cuisine,1/1/2024,2873
Dining,International Cuisine,2/1/2024,8305
Dining,International Cuisine,3/1/2024,6131
Dining,International Cuisine,4/1/2024,1727
Dining,International Cuisine,5/1/2024,1213
Dining,International Cuisine,6/1/2024,14080
Dining,International Cuisine,7/1/2024,3966
Dining,International Cuisine,8/1/2024,7424
Dining,International Cuisine,9/1/2024,3335
Dining,International Cuisine,10/1/2024,2965
Dining,International Cuisine,11/1/2024,6105
Dining,International Cuisine,12/1/2024,9198
Dining,International Cuisine,13/1/2024,1812
Dining,International Cuisine,14/1/2024,4019
Dining,International Cuisine,15/1/2024,6266
Dining,International Cuisine,16/1/2024,9866
Dining,International Cuisine,17/1/2024,2073
Dining,International Cuisine,18/1/2024,1454
Dining,International Cuisine,19/1/2024,9251
Dining,International Cuisine,20/1/2024,3903
Dining,International Cuisine,21/1/2024,1786
Dining,International Cuisine,22/1/2024,1650
Dining,International Cuisine,23/1/2024,6631
Dining,International Cuisine,24/1/2024,7341
Dining,International Cuisine,25/1/2024,5142
Dining,International Cuisine,26/1/2024,2803
Dining,International Cuisine,27/1/2024,14032
Dining,International Cuisine,28/1/2024,10012
Dining,International Cuisine,29/1/2024,3803
Dining,International Cuisine,30/1/2024,2527
Dining,International Cuisine,31/1/2024,9136
Dining,International Cuisine,1/2/2024,5851
Dining,International Cuisine,2/2/2024,6074
Dining,International Cuisine,3/2/2024,653
Dining,International Cuisine,4/2/2024,14143
Dining,International Cuisine,5/2/2024,3858
Dining,International Cuisine,6/2/2024,9708
Dining,International Cuisine,7/2/2024,4040
Dining,International Cuisine,8/2/2024,2653
Dining,International Cuisine,9/2/2024,6796
Dining,International Cuisine,10/2/2024,7791
Dining,International Cuisine,11/2/2024,5472
Dining,International Cuisine,12/2/2024,8155
Dining,International Cuisine,13/2/2024,5578
Dining,International Cuisine,14/2/2024,3035
Dining,International Cuisine,15/2/2024,2021
Dining,International Cuisine,16/2/2024,592
Dining,International Cuisine,17/2/2024,954
Dining,International Cuisine,18/2/2024,13380
Dining,International Cuisine,19/2/2024,6334
Dining,International Cuisine,20/2/2024,2502
Dining,International Cuisine,21/2/2024,3089
Dining,International Cuisine,22/2/2024,4577
Dining,International Cuisine,23/2/2024,4108
Dining,International Cuisine,24/2/2024,10076
Dining,International Cuisine,25/2/2024,7834
Dining,International Cuisine,26/2/2024,545
Dining,International Cuisine,27/2/2024,9836
Dining,International Cuisine,28/2/2024,2342
Dining,International Cuisine,29/2/2024,5797
Dining,International Cuisine,1/3/2024,8003
Dining,International Cuisine,2/3/2024,6159
Dining,International Cuisine,3/3/2024,4473
Dining,International Cuisine,4/3/2024,1992
Dining,International Cuisine,5/3/2024,5566
Dining,International Cuisine,6/3/2024,3431
Dining,International Cuisine,7/3/2024,3923
Dining,International Cuisine,8/3/2024,1751
Dining,International Cuisine,9/3/2024,2503
Dining,International Cuisine,10/3/2024,9990
Dining,International Cuisine,11/3/2024,3792
Dining,International Cuisine,12/3/2024,924
Dining,International Cuisine,13/3/2024,9289
Dining,International Cuisine,14/3/2024,1624
Dining,International Cuisine,15/3/2024,4726
Dining,International Cuisine,16/3/2024,4640
Dining,International Cuisine,17/3/2024,601
Dining,International Cuisine,18/3/2024,4350
Dining,International Cuisine,19/3/2024,4424
Dining,International Cuisine,20/3/2024,7463
Dining,International Cuisine,21/3/2024,7838
Dining,International Cuisine,22/3/2024,4589
Dining,International Cuisine,23/3/2024,13204
Dining,International Cuisine,24/3/2024,6757
Dining,International Cuisine,25/3/2024,5599
Dining,International Cuisine,26/3/2024,4201
Dining,International Cuisine,27/3/2024,6064
Dining,International Cuisine,28/3/2024,4059
Dining,International Cuisine,29/3/2024,4219
Dining,International Cuisine,30/3/2024,10818
Dining,Street Food,1/1/2024,9894
Dining,Street Food,2/1/2024,3775
Dining,Street Food,3/1/2024,5373
Dining,Street Food,4/1/2024,7121
Dining,Street Food,5/1/2024,5789
Dining,Street Food,6/1/2024,10140
Dining,Street Food,7/1/2024,1962
Dining,Street Food,8/1/2024,8371
